time (days)	flux            flux_noiseless	in_transit (yes/no)
-0.50000000	1.00000062	1.00000000	0
-0.49861111	1.00014937	1.00000000	0
-0.49722222	0.99986293	1.00000000	0
-0.49583333	0.99955470	1.00000000	0
-0.49444444	0.99977266	1.00000000	0
-0.49305556	0.99950418	1.00000000	0
-0.49166667	1.00003007	1.00000000	0
-0.49027778	1.00067011	1.00000000	0
-0.48888889	0.99975390	1.00000000	0
-0.48750000	0.99968976	1.00000000	0
-0.48611111	1.00024492	1.00000000	0
-0.48472222	1.00017844	1.00000000	0
-0.48333333	1.00005271	1.00000000	0
-0.48194444	0.99953477	1.00000000	0
-0.48055556	0.99998537	1.00000000	0
-0.47916667	1.00034765	1.00000000	0
-0.47777778	0.99932789	1.00000000	0
-0.47638889	0.99977119	1.00000000	0
-0.47500000	0.99904939	1.00000000	0
-0.47361111	0.99935523	1.00000000	0
-0.47222222	0.99907913	1.00000000	0
-0.47083333	0.99988245	1.00000000	0
-0.46944444	0.99936628	1.00000000	0
-0.46805556	1.00013563	1.00000000	0
-0.46666667	1.00007838	1.00000000	0
-0.46527778	0.99990653	1.00000000	0
-0.46388889	0.99874162	1.00000000	0
-0.46250000	0.99973065	1.00000000	0
-0.46111111	0.99997575	1.00000000	0
-0.45972222	1.00005665	1.00000000	0
-0.45833333	0.99923493	1.00000000	0
-0.45694444	0.99976112	1.00000000	0
-0.45555556	0.99951074	1.00000000	0
-0.45416667	0.99959558	1.00000000	0
-0.45277778	1.00053045	1.00000000	0
-0.45138889	0.99959623	1.00000000	0
-0.45000000	0.99998374	1.00000000	0
-0.44861111	1.00044219	1.00000000	0
-0.44722222	0.99970820	1.00000000	0
-0.44583333	0.99994415	1.00000000	0
-0.44444444	1.00005523	1.00000000	0
-0.44305556	1.00003189	1.00000000	0
-0.44166667	0.99938747	1.00000000	0
-0.44027778	1.00003807	1.00000000	0
-0.43888889	1.00067941	1.00000000	0
-0.43750000	0.99922643	1.00000000	0
-0.43611111	1.00042969	1.00000000	0
-0.43472222	1.00005968	1.00000000	0
-0.43333333	0.99967926	1.00000000	0
-0.43194444	1.00100021	1.00000000	0
-0.43055556	1.00038113	1.00000000	0
-0.42916667	0.99940036	1.00000000	0
-0.42777778	1.00003726	1.00000000	0
-0.42638889	1.00028834	1.00000000	0
-0.42500000	0.99990561	1.00000000	0
-0.42361111	1.00034146	1.00000000	0
-0.42222222	0.99996674	1.00000000	0
-0.42083333	1.00033362	1.00000000	0
-0.41944444	1.00071926	1.00000000	0
-0.41805556	0.99966217	1.00000000	0
-0.41666667	1.00010157	1.00000000	0
-0.41527778	0.99976835	1.00000000	0
-0.41388889	1.00006363	1.00000000	0
-0.41250000	0.99940640	1.00000000	0
-0.41111111	0.99971035	1.00000000	0
-0.40972222	0.99990190	1.00000000	0
-0.40833333	1.00044938	1.00000000	0
-0.40694444	1.00057261	1.00000000	0
-0.40555556	0.99933824	1.00000000	0
-0.40416667	0.99960268	1.00000000	0
-0.40277778	1.00032345	1.00000000	0
-0.40138889	0.99900379	1.00000000	0
-0.40000000	0.99976842	1.00000000	0
-0.39861111	0.99995136	1.00000000	0
-0.39722222	1.00062851	1.00000000	0
-0.39583333	1.00034470	1.00000000	0
-0.39444444	0.99983639	1.00000000	0
-0.39305556	0.99981571	1.00000000	0
-0.39166667	0.99987490	1.00000000	0
-0.39027778	1.00076176	1.00000000	0
-0.38888889	0.99978599	1.00000000	0
-0.38750000	0.99984816	1.00000000	0
-0.38611111	1.00017629	1.00000000	0
-0.38472222	0.99993961	1.00000000	0
-0.38333333	0.99990136	1.00000000	0
-0.38194444	0.99944297	1.00000000	0
-0.38055556	0.99999424	1.00000000	0
-0.37916667	0.99977821	1.00000000	0
-0.37777778	1.00058306	1.00000000	0
-0.37638889	1.00032654	1.00000000	0
-0.37500000	0.99998793	1.00000000	0
-0.37361111	1.00033419	1.00000000	0
-0.37222222	0.99983007	1.00000000	0
-0.37083333	1.00052606	1.00000000	0
-0.36944444	0.99999730	1.00000000	0
-0.36805556	1.00029169	1.00000000	0
-0.36666667	0.99935455	1.00000000	0
-0.36527778	1.00017334	1.00000000	0
-0.36388889	0.99915590	1.00000000	0
-0.36250000	0.99898234	1.00000000	0
-0.36111111	0.99984776	1.00000000	0
-0.35972222	0.99955004	1.00000000	0
-0.35833333	1.00008203	1.00000000	0
-0.35694444	1.00112238	1.00000000	0
-0.35555556	0.99958414	1.00000000	0
-0.35416667	0.99968803	1.00000000	0
-0.35277778	1.00010270	1.00000000	0
-0.35138889	1.00024651	1.00000000	0
-0.35000000	0.99991180	1.00000000	0
-0.34861111	0.99989703	1.00000000	0
-0.34722222	1.00035123	1.00000000	0
-0.34583333	1.00025995	1.00000000	0
-0.34444444	0.99948316	1.00000000	0
-0.34305556	0.99996041	1.00000000	0
-0.34166667	1.00001764	1.00000000	0
-0.34027778	0.99947276	1.00000000	0
-0.33888889	1.00012992	1.00000000	0
-0.33750000	0.99957102	1.00000000	0
-0.33611111	1.00048603	1.00000000	0
-0.33472222	1.00009637	1.00000000	0
-0.33333333	1.00004465	1.00000000	0
-0.33194444	0.99970449	1.00000000	0
-0.33055556	0.99994070	1.00000000	0
-0.32916667	0.99900113	1.00000000	0
-0.32777778	0.99943430	1.00000000	0
-0.32638889	1.00018142	1.00000000	0
-0.32500000	0.99893572	1.00000000	0
-0.32361111	1.00042330	1.00000000	0
-0.32222222	0.99912695	1.00000000	0
-0.32083333	1.00037837	1.00000000	0
-0.31944444	0.99957725	1.00000000	0
-0.31805556	1.00038950	1.00000000	0
-0.31666667	1.00006548	1.00000000	0
-0.31527778	0.99923158	1.00000000	0
-0.31388889	1.00062457	1.00000000	0
-0.31250000	1.00072085	1.00000000	0
-0.31111111	0.99996710	1.00000000	0
-0.30972222	0.99986304	1.00000000	0
-0.30833333	0.99992007	1.00000000	0
-0.30694444	0.99951242	1.00000000	0
-0.30555556	1.00054929	1.00000000	0
-0.30416667	0.99972855	1.00000000	0
-0.30277778	0.99997440	1.00000000	0
-0.30138889	0.99960335	1.00000000	0
-0.30000000	0.99968696	1.00000000	0
-0.29861111	0.99936114	1.00000000	0
-0.29722222	1.00062853	1.00000000	0
-0.29583333	0.99992296	1.00000000	0
-0.29444444	1.00048296	1.00000000	0
-0.29305556	1.00000666	1.00000000	0
-0.29166667	0.99965280	1.00000000	0
-0.29027778	0.99983666	1.00000000	0
-0.28888889	0.99971988	1.00000000	0
-0.28750000	1.00000398	1.00000000	0
-0.28611111	0.99981237	1.00000000	0
-0.28472222	0.99985004	1.00000000	0
-0.28333333	0.99931071	1.00000000	0
-0.28194444	0.99959658	1.00000000	0
-0.28055556	1.00082703	1.00000000	0
-0.27916667	0.99966438	1.00000000	0
-0.27777778	0.99947295	1.00000000	0
-0.27638889	1.00016866	1.00000000	0
-0.27500000	1.00070364	1.00000000	0
-0.27361111	0.99927299	1.00000000	0
-0.27222222	0.99989574	1.00000000	0
-0.27083333	0.99968397	1.00000000	0
-0.26944444	0.99911949	1.00000000	0
-0.26805556	1.00036746	1.00000000	0
-0.26666667	0.99998828	1.00000000	0
-0.26527778	1.00003572	1.00000000	0
-0.26388889	0.99962384	1.00000000	0
-0.26250000	1.00022739	1.00000000	0
-0.26111111	0.99973035	1.00000000	0
-0.25972222	0.99992855	1.00000000	0
-0.25833333	0.99944587	1.00000000	0
-0.25694444	0.99939195	1.00000000	0
-0.25555556	1.00066777	1.00000000	0
-0.25416667	0.99974645	1.00000000	0
-0.25277778	1.00014584	1.00000000	0
-0.25138889	0.99998310	1.00000000	0
-0.25000000	0.99977943	1.00000000	0
-0.24861111	0.99974602	1.00000000	0
-0.24722222	1.00031504	1.00000000	0
-0.24583333	0.99984907	1.00000000	0
-0.24444444	0.99992428	1.00000000	0
-0.24305556	1.00001111	1.00000000	0
-0.24166667	1.00058825	1.00000000	0
-0.24027778	1.00034026	1.00000000	0
-0.23888889	1.00019130	1.00000000	0
-0.23750000	0.99971821	1.00000000	0
-0.23611111	0.99930902	1.00000000	0
-0.23472222	1.00047476	1.00000000	0
-0.23333333	1.00048322	1.00000000	0
-0.23194444	0.99992965	1.00000000	0
-0.23055556	1.00027094	1.00000000	0
-0.22916667	1.00039072	1.00000000	0
-0.22777778	1.00041559	1.00000000	0
-0.22638889	1.00046069	1.00000000	0
-0.22500000	0.99977219	1.00000000	0
-0.22361111	1.00075749	1.00000000	0
-0.22222222	0.99937670	1.00000000	0
-0.22083333	1.00043086	1.00000000	0
-0.21944444	1.00024697	1.00000000	0
-0.21805556	1.00043681	1.00000000	0
-0.21666667	1.00093950	1.00000000	0
-0.21527778	1.00074222	1.00000000	0
-0.21388889	0.99942741	1.00000000	0
-0.21250000	0.99915566	1.00000000	0
-0.21111111	1.00040844	1.00000000	0
-0.20972222	0.99949249	1.00000000	0
-0.20833333	0.99999380	1.00000000	0
-0.20694444	1.00041986	1.00000000	0
-0.20555556	0.99917810	1.00000000	0
-0.20416667	0.99894501	1.00000000	0
-0.20277778	1.00012965	1.00000000	0
-0.20138889	1.00002219	1.00000000	0
-0.20000000	0.99987710	1.00000000	0
-0.19861111	1.00001927	1.00000000	0
-0.19722222	0.99956974	1.00000000	0
-0.19583333	0.99924325	1.00000000	0
-0.19444444	0.99991667	1.00000000	0
-0.19305556	0.99951415	1.00000000	0
-0.19166667	0.99917826	1.00000000	0
-0.19027778	1.00025284	1.00000000	0
-0.18888889	0.99996930	1.00000000	0
-0.18750000	1.00020326	1.00000000	0
-0.18611111	0.99950535	1.00000000	0
-0.18472222	0.99967097	1.00000000	0
-0.18333333	0.99950048	1.00000000	0
-0.18194444	0.99955668	1.00000000	0
-0.18055556	1.00009770	1.00000000	0
-0.17916667	0.99960851	1.00000000	0
-0.17777778	1.00017803	1.00000000	0
-0.17638889	1.00016988	1.00000000	0
-0.17500000	1.00101258	1.00000000	0
-0.17361111	0.99930361	1.00000000	0
-0.17222222	1.00044395	1.00000000	0
-0.17083333	0.99995526	1.00000000	0
-0.16944444	0.99999299	1.00000000	0
-0.16805556	0.99927507	1.00000000	0
-0.16666667	0.99976990	1.00000000	0
